nhs,person_id,survey_phase,social_survey,catch_survey,catch_data_survey,type,maungwe_active,maungwe_annual_earnings,limbelo_active,limbelo_annual_earnings,limbelo_traps,maungwe_traps,limbelo_annual_buckets,limbelo_days_fished
NHS168,1799,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 13,280 ",11,0,40,52
NHS169,1800,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 11,454 ",14,0,34.5,41
NHS170,1801,1,Yes,Yes,No,Limbelo,N/A,,Active, 581 ,14,0,1.75,4
NHS171,1802,1,Yes,Yes,No,Limbelo,N/A,,Active," 1,743 ",1,0,5.25,12
NHS172,1803,1,No,Yes,No,Limbelo,N/A,,Active," 2,490 ",8,0,7.5,14
NHS173,1804,1,No,No,No,Limbelo,N/A,,Inactive,0,14,0,,
NHS174,1805,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 3,279 ",5,0,9.875,31
NHS175,1806,1,Yes,Yes,No,Limbelo,N/A,,Active," 2,158 ",9,0,6.5,12
NHS176,1807,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 11,703 ",19,0,35.25,46
NHS177,1808,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 28,386 ",4,0,85.5,54
NHS178,1809,1,Yes,No,No,Limbelo,N/A,,Inactive,0,2,0,,
NHS179,1810,1,Yes,No,No,Limbelo,N/A,,Inactive,0,5,0,,
NHS180,1811,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 6,225 ",2,0,18.75,38
NHS181,1812,1,Yes,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS182,1813,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 12,948 ",5,0,39,40
NHS183,1814,1,Yes,No,No,Limbelo,N/A,,Inactive,0,2,0,,
NHS184,1815,1,No,No,No,Limbelo,N/A,,Inactive,0,4,0,,
NHS185,1816,1,Yes,Yes,No,Limbelo,N/A,,Active," 1,235 ",12,0,3.72,14
NHS186,1817,1,Yes,Yes,No,Limbelo,N/A,,Active, 664 ,9,0,2,6
NHS187,1818,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 3,239 ",5,0,9.756,33
NHS188,1819,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 11,455 ",8,0,34.502,37
NHS189,1820,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 23,323 ",2,0,70.25,21
NHS190,1821,1,No,No,No,Limbelo,N/A,,Inactive,0,3,0,,
NHS191,1822,1,No,No,No,Limbelo,N/A,,Inactive,0,3,0,,
NHS192,1823,1,Yes,Yes,No,Limbelo,N/A,,Active," 4,690 ",3,0,14.128,13
NHS193,1824,1,Yes,Yes,No,Limbelo,N/A,,Active," 2,822 ",6,0,8.5,14
NHS194,1825,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 1,992 ",6,0,6,20
NHS195,1826,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 16,663 ",3,0,50.19,44
NHS196,1827,1,Yes,Yes,No,Limbelo,N/A,,Active, 415 ,4,0,1.25,5
NHS197,1828,1,No,Yes,No,Limbelo,N/A,,Active, 166 ,4,0,0.5,2
NHS198,1829,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,6,,
NHS199,1830,1,Yes,No,Yes,Maungwe,Inactive,,N/A,0,0,5,,
NHS200,1831,1,Yes,No,Yes,Maungwe,Active," 15,000 ",N/A,0,0,10,,
NHS201,1832,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,6,,
NHS202,1833,1,Yes,No,No,Maungwe,Inactive,,N/A,0,1,1,,
NHS203,1834,1,No,No,No,Maungwe,Inactive,,N/A,0,0,13,,
NHS204,1835,1,No,No,No,Maungwe,Inactive,,N/A,0,0,4,,
